locality,Year,house price
COLERAINE,2009,120000.00 
COLLINGWOOD,2009,610000.00 
CONNEWARRE,2009,690000.00 
COOLAROO,2009,265000.00 
COONANS HILL,2009,566000.00 
COONGULLA,2009,140000.00 
CORINELLA,2009,277000.00 
CORIO,2009,196500.00 
CORONET BAY,2009,205000.00 
CORRYONG,2009,142500.00 
COWES,2009,355000.00 
COWES WEST,2009,277500.00 
CRAIGIEBURN,2009,327000.00 
CRANBOURNE,2009,280000.00 
CRANBOURNE EAST,2009,328000.00 
CRANBOURNE NORTH,2009,320000.00 
CRANBOURNE WEST,2009,282000.00 
CREMORNE,2009,682000.00 
CRESWICK,2009,196500.00 
CRIB POINT,2009,279000.00 
CROYDON,2009,396500.00 
CROYDON HILLS,2009,475500.00 
CROYDON NORTH,2009,471000.00 
CROYDON SOUTH,2009,390500.00 
CURLEWIS,2009,-
DALLAS,2009,290000.00 
DALYSTON,2009,200000.00 
DANDENONG,2009,346000.00 
DANDENONG NORTH,2009,340000.00 
DARLEY,2009,256500.00 
DARTMOOR,2009,148000.00 
DAYLESFORD,2009,290000.00 
DEANSIDE,2009,-
DEEPDENE,2009,1790500.00 
DEER PARK,2009,306000.00 
DELACOMBE,2009,260000.00 
DELAHEY,2009,310000.00 
DENNINGTON,2009,280000.00 
DERRIMUT,2009,367000.00 
DERRINALLUM,2009,143000.00 
DIAMOND CREEK,2009,441000.00 
DIGGERS REST,2009,240000.00 
DIMBOOLA,2009,90000.00 
DINGLEY VILLAGE,2009,469500.00 
DINNER PLAIN,2009,455000.00 
DONALD,2009,92500.00 
DONCASTER,2009,689000.00 
DONCASTER EAST,2009,630000.00 
DONVALE,2009,601000.00 
DOREEN,2009,375000.00 
DOVETON,2009,268500.00 
DROMANA,2009,385000.00 
DROUIN,2009,243000.00 
DRYSDALE,2009,306000.00 
DUNKELD,2009,210000.00 
DUNOLLY,2009,132500.00 
EAGLE POINT,2009,237000.00 
EAGLEHAWK,2009,215000.00 
EAGLEMONT,2009,1455000.00 
EAST BAIRNSDALE,2009,195000.00 
EAST BENDIGO,2009,225500.00 
EAST GEELONG,2009,334000.00 
EAST MELBOURNE,2009,1680000.00 
EAST WARBURTON,2009,250000.00 
EASTWOOD,2009,310000.00 
ECHUCA,2009,255000.00 
EDENHOPE,2009,83000.00 
EDITHVALE,2009,485000.00 
EILDON,2009,176000.00 
ELLIMINYT,2009,265000.00 
ELMORE,2009,162000.00 
ELSTERNWICK,2009,985000.00 
ELTHAM,2009,522000.00 
ELTHAM NORTH,2009,496500.00 
ELWOOD,2009,1120000.00 
EMERALD,2009,372500.00 
ENDEAVOUR HILLS,2009,356000.00 
EPPING,2009,343000.00 
EPSOM,2009,260000.00 
ESSENDON,2009,790000.00 
ESSENDON NORTH,2009,651000.00 
ESSENDON WEST,2009,680000.00 
EUMEMMERRING,2009,320000.00 
EUREKA,2009,241000.00 
EUROA,2009,175000.00 
EYNESBURY,2009,525000.00 
FAIRFIELD,2009,677500.00 
FAIRHAVEN,2009,725000.00 
FAWKNER,2009,385000.00 
FERNTREE GULLY,2009,380000.00 
FERNY CREEK,2009,475000.00 
FINGAL,2009,520000.00 
FITZROY,2009,780000.00 
FITZROY NORTH,2009,740000.00 
FIVEWAYS,2009,320000.00 
FLEMINGTON,2009,580500.00 
FLINDERS,2009,655000.00 
FLORA HILL,2009,225000.00 
FLOWERDALE,2009,234500.00 
FOOTSCRAY,2009,505000.00 
FOREST HILL,2009,503000.00 
FOSTER,2009,222000.00 
FRANKSTON,2009,315000.00 
FRANKSTON NORTH,2009,237000.00 
FRANKSTON SOUTH,2009,453000.00 
FRASER RISE,2009,-
FYANSFORD,2009,-
GARDEN CITY,2009,900000.00 
GARDENVALE,2009,825000.00 
GARFIELD,2009,275000.00 
GEELONG,2009,390000.00 
GEELONG WEST,2009,347500.00 
GEMBROOK,2009,300000.00 
GISBORNE,2009,350000.00 
GLADSTONE PARK,2009,354000.00 
GLEN HUNTLY,2009,835500.00 
GLEN IRIS,2009,1026500.00 
GLEN WAVERLEY,2009,660000.00 
GLENGARRY,2009,225000.00 
GLENROWAN,2009,236000.00 
GLENROY,2009,420000.00 
GOLDEN BEACH,2009,152500.00 
GOLDEN POINT (BALLARAT),2009,210000.00 
GOLDEN SQUARE,2009,223000.00 
GORDON,2009,262500.00 
GOUGHS BAY,2009,183000.00 
GOWANBRAE,2009,450000.00 
GRANTVILLE,2009,218000.00 
GREEN LAKE,2009,230000.00 
GREENSBOROUGH,2009,440000.00 
GREENVALE,2009,476000.00 
GROVEDALE,2009,292000.00 
HADFIELD,2009,417500.00 
HALLAM,2009,328500.00 
HALLS GAP,2009,230000.00 
HAMILTON,2009,185000.00 
HAMLYN HEIGHTS,2009,295000.00 
HAMPTON,2009,1101000.00 
HAMPTON EAST,2009,655000.00 
HAMPTON PARK,2009,295000.00 
HARKNESS,2009,283000.00 
HASTINGS,2009,300000.00 
HASTINGS WEST,2009,229500.00 
HAWTHORN,2009,1237500.00 
HAWTHORN EAST,2009,1142500.00 
HEALESVILLE,2009,312500.00 
HEATHCOTE,2009,190000.00 
HEATHERTON,2009,569000.00 
HEATHMONT,2009,435000.00 
HEIDELBERG,2009,730500.00 
HEIDELBERG HEIGHTS,2009,452000.00 
HEIDELBERG WEST,2009,374000.00 
HEPBURN,2009,315000.00 
HEPBURN SPRINGS,2009,343500.00 
HERNE HILL,2009,280000.00 
HEYFIELD,2009,155000.00 
HEYWOOD,2009,149000.00 
HIGHETT,2009,650000.00 
HIGHTON,2009,385000.00 
HILLSIDE (MELTON),2009,355000.00 
HOPETOUN,2009,73500.00 
HOPPERS CROSSING,2009,283000.00 
HORSHAM,2009,176500.00 
HUGHESDALE,2009,695000.00 
HUNTINGDALE,2009,560000.00 
HUNTLY,2009,261000.00 
HURSTBRIDGE,2009,402000.00 
INDENTED HEAD,2009,321500.00 
INGLEWOOD,2009,130000.00 
INVERLEIGH,2009,240000.00 
INVERLOCH,2009,379000.00 
INVERMAY PARK,2009,305000.00 
IRONBARK,2009,226500.00 
IRYMPLE,2009,215000.00 
IVANHOE,2009,802000.00 
IVANHOE EAST,2009,958000.00 
JACANA,2009,320500.00 
JACKASS FLAT,2009,262000.00 
JAMIESON,2009,193500.00 
JAN JUC,2009,467000.00 
JEERALANG NORTH,2009,161500.00 
JEPARIT,2009,66500.00 
JUNCTION VILLAGE,2009,276500.00 
JUNORTOUN,2009,431500.00 
KALIMNA,2009,266500.00 
KALKALLO,2009,-
KALLISTA,2009,410000.00 
KALORAMA,2009,350000.00 
KANGAROO FLAT,2009,233000.00 
KANGAROO GROUND SOUTH,2009,515000.00 
KANIVA,2009,96000.00 
KEALBA,2009,313500.00 
KEILOR,2009,510000.00 
KEILOR DOWNS,2009,370000.00 
KEILOR EAST,2009,454000.00 
KEILOR LODGE,2009,415000.00 
KEILOR PARK,2009,407500.00 
KENNINGTON,2009,265000.00 
KENSINGTON,2009,570000.00 
KERANG,2009,147500.00 
KEW,2009,1390000.00 
KEW EAST,2009,932000.00 
KEW NORTH,2009,940000.00 
KEYSBOROUGH,2009,375000.00 
