,locality,Year,house price
188,COWES,2009,355000
189,COWES WEST,2009,277500
190,CRAIGIEBURN,2009,327000
191,CRANBOURNE,2009,280000
192,CRANBOURNE EAST,2009,328000
193,CRANBOURNE NORTH,2009,320000
194,CRANBOURNE WEST,2009,282000
195,CREMORNE,2009,682000
196,CRESWICK,2009,196500
197,CRIB POINT,2009,279000
198,CROYDON,2009,396500
199,CROYDON HILLS,2009,475500
200,CROYDON NORTH,2009,471000
201,CROYDON SOUTH,2009,390500
202,CURLEWIS,2009,-
203,DALLAS,2009,290000
204,DALYSTON,2009,200000
205,DANDENONG,2009,346000
206,DANDENONG NORTH,2009,340000
207,DARLEY,2009,256500
208,DARTMOOR,2009,148000
209,DAYLESFORD,2009,290000
210,DEANSIDE,2009,-
211,DEEPDENE,2009,1790500
212,DEER PARK,2009,306000
213,DELACOMBE,2009,260000
214,DELAHEY,2009,310000
215,DENNINGTON,2009,280000
216,DERRIMUT,2009,367000
217,DERRINALLUM,2009,143000
218,DIAMOND CREEK,2009,441000
219,DIGGERS REST,2009,240000
220,DIMBOOLA,2009,90000
221,DINGLEY VILLAGE,2009,469500
222,DINNER PLAIN,2009,455000
223,DONALD,2009,92500
224,DONCASTER,2009,689000
225,DONCASTER EAST,2009,630000
226,DONVALE,2009,601000
227,DOREEN,2009,375000
228,DOVETON,2009,268500
229,DROMANA,2009,385000
230,DROUIN,2009,243000
231,DRYSDALE,2009,306000
232,DUNKELD,2009,210000
233,DUNOLLY,2009,132500
234,EAGLE POINT,2009,237000
235,EAGLEHAWK,2009,215000
236,EAGLEMONT,2009,1455000
237,EAST BAIRNSDALE,2009,195000
238,EAST BENDIGO,2009,225500
239,EAST GEELONG,2009,334000
240,EAST MELBOURNE,2009,1680000
241,EAST WARBURTON,2009,250000
242,EASTWOOD,2009,310000
243,ECHUCA,2009,255000
244,EDENHOPE,2009,83000
245,EDITHVALE,2009,485000
246,EILDON,2009,176000
247,ELLIMINYT,2009,265000
248,ELMORE,2009,162000
249,ELSTERNWICK,2009,985000
250,ELTHAM,2009,522000
251,ELTHAM NORTH,2009,496500
252,ELWOOD,2009,1120000
253,EMERALD,2009,372500
254,ENDEAVOUR HILLS,2009,356000
255,EPPING,2009,343000
256,EPSOM,2009,260000
257,ESSENDON,2009,790000
258,ESSENDON NORTH,2009,651000
259,ESSENDON WEST,2009,680000
260,EUMEMMERRING,2009,320000
261,EUREKA,2009,241000
262,EUROA,2009,175000
263,EYNESBURY,2009,525000
264,FAIRFIELD,2009,677500
265,FAIRHAVEN,2009,725000
266,FAWKNER,2009,385000
267,FERNTREE GULLY,2009,380000
268,FERNY CREEK,2009,475000
269,FINGAL,2009,520000
270,FITZROY,2009,780000
271,FITZROY NORTH,2009,740000
272,FIVEWAYS,2009,320000
273,FLEMINGTON,2009,580500
274,FLINDERS,2009,655000
275,FLORA HILL,2009,225000
276,FLOWERDALE,2009,234500
277,FOOTSCRAY,2009,505000
278,FOREST HILL,2009,503000
279,FOSTER,2009,222000
280,FRANKSTON,2009,315000
281,FRANKSTON NORTH,2009,237000
282,FRANKSTON SOUTH,2009,453000
283,FRASER RISE,2009,-
284,FYANSFORD,2009,-
285,GARDEN CITY,2009,900000
286,GARDENVALE,2009,825000
287,GARFIELD,2009,275000
288,GEELONG,2009,390000
289,GEELONG WEST,2009,347500
290,GEMBROOK,2009,300000
291,GISBORNE,2009,350000
292,GLADSTONE PARK,2009,354000
293,GLEN HUNTLY,2009,835500
294,GLEN IRIS,2009,1026500
295,GLEN WAVERLEY,2009,660000
296,GLENGARRY,2009,225000
297,GLENROWAN,2009,236000
298,GLENROY,2009,420000
299,GOLDEN BEACH,2009,152500
300,GOLDEN POINT (BALLARAT),2009,210000
301,GOLDEN SQUARE,2009,223000
302,GORDON,2009,262500
303,GOUGHS BAY,2009,183000
304,GOWANBRAE,2009,450000
305,GRANTVILLE,2009,218000
306,GREEN LAKE,2009,230000
307,GREENSBOROUGH,2009,440000
308,GREENVALE,2009,476000
309,GROVEDALE,2009,292000
310,HADFIELD,2009,417500
311,HALLAM,2009,328500
312,HALLS GAP,2009,230000
313,HAMILTON,2009,185000
314,HAMLYN HEIGHTS,2009,295000
315,HAMPTON,2009,1101000
316,HAMPTON EAST,2009,655000
317,HAMPTON PARK,2009,295000
318,HARKNESS,2009,283000
319,HASTINGS,2009,300000
320,HASTINGS WEST,2009,229500
321,HAWTHORN,2009,1237500
322,HAWTHORN EAST,2009,1142500
323,HEALESVILLE,2009,312500
324,HEATHCOTE,2009,190000
325,HEATHERTON,2009,569000
326,HEATHMONT,2009,435000
327,HEIDELBERG,2009,730500
328,HEIDELBERG HEIGHTS,2009,452000
329,HEIDELBERG WEST,2009,374000
330,HEPBURN,2009,315000
331,HEPBURN SPRINGS,2009,343500
332,HERNE HILL,2009,280000
333,HEYFIELD,2009,155000
334,HEYWOOD,2009,149000
335,HIGHETT,2009,650000
336,HIGHTON,2009,385000
337,HILLSIDE (MELTON),2009,355000
338,HOPETOUN,2009,73500
339,HOPPERS CROSSING,2009,283000
340,HORSHAM,2009,176500
341,HUGHESDALE,2009,695000
342,HUNTINGDALE,2009,560000
343,HUNTLY,2009,261000
344,HURSTBRIDGE,2009,402000
345,INDENTED HEAD,2009,321500
346,INGLEWOOD,2009,130000
347,INVERLEIGH,2009,240000
348,INVERLOCH,2009,379000
349,INVERMAY PARK,2009,305000
350,IRONBARK,2009,226500
351,IRYMPLE,2009,215000
352,IVANHOE,2009,802000
353,IVANHOE EAST,2009,958000
354,JACANA,2009,320500
355,JACKASS FLAT,2009,262000
356,JAMIESON,2009,193500
357,JAN JUC,2009,467000
358,JEERALANG NORTH,2009,161500
359,JEPARIT,2009,66500
360,JUNCTION VILLAGE,2009,276500
361,JUNORTOUN,2009,431500
362,KALIMNA,2009,266500
363,KALKALLO,2009,-
364,KALLISTA,2009,410000
365,KALORAMA,2009,350000
366,KANGAROO FLAT,2009,233000
367,KANGAROO GROUND SOUTH,2009,515000
368,KANIVA,2009,96000
369,KEALBA,2009,313500
370,KEILOR,2009,510000
371,KEILOR DOWNS,2009,370000
372,KEILOR EAST,2009,454000
373,KEILOR LODGE,2009,415000
374,KEILOR PARK,2009,407500
375,KENNINGTON,2009,265000
376,KENSINGTON,2009,570000
377,KERANG,2009,147500
378,KEW,2009,1390000
379,KEW EAST,2009,932000
380,KEW NORTH,2009,940000
381,KEYSBOROUGH,2009,375000
382,KIALLA,2009,320000
383,KILCUNDA,2009,292500
384,KILLARA (WODONGA),2009,212500
385,KILMORE,2009,273500
386,KILSYTH,2009,370000
387,KILSYTH SOUTH,2009,438500
388,KINGLAKE,2009,265000
389,KINGS PARK,2009,285000
390,KINGSBURY,2009,421000
391,KINGSVILLE,2009,546500
392,KNOXFIELD,2009,420000
393,KOO WEE RUP,2009,280000
