locality,Year,house_price
DEANSIDE,2019,-
DEEPDENE,2019,2758000
DEER PARK,2019,550000
DELACOMBE,2019,390000
DELAHEY,2019,530000
DENNINGTON,2019,360000
DERRIMUT,2019,649000
DERRINALLUM,2019,221500
DIAMOND CREEK,2019,751500
DIGGERS REST,2019,515000
DIMBOOLA,2019,120000
DINGLEY VILLAGE,2019,810000
DINNER PLAIN,2019,520000
DONALD,2019,135500
DONCASTER,2019,1251500
DONCASTER EAST,2019,1190000
DONVALE,2019,1121000
DOREEN,2019,597500
DOVETON,2019,470000
DROMANA,2019,715500
DROUIN,2019,440000
DRYSDALE,2019,572500
DUNKELD,2019,225000
DUNOLLY,2019,234500
EAGLE POINT,2019,360000
EAGLEHAWK,2019,321500
EAGLEMONT,2019,1799000
EAST BAIRNSDALE,2019,235000
EAST BENDIGO,2019,390000
EAST GEELONG,2019,625000
EAST MELBOURNE,2019,3413500
EAST WARBURTON,2019,446500
EASTWOOD,2019,410000
ECHUCA,2019,370000
EDENHOPE,2019,173000
EDITHVALE,2019,954000
EILDON,2019,251500
ELLIMINYT,2019,445000
ELMORE,2019,235000
ELSTERNWICK,2019,1750000
ELTHAM,2019,925000
ELTHAM NORTH,2019,930000
ELWOOD,2019,1952500
EMERALD,2019,660000
ENDEAVOUR HILLS,2019,620000
EPPING,2019,550000
EPSOM,2019,371500
ESSENDON,2019,1447000
ESSENDON NORTH,2019,1100000
ESSENDON WEST,2019,1160000
EUMEMMERRING,2019,540000
EUREKA,2019,360000
EUROA,2019,309000
EYNESBURY,2019,558500
FAIRFIELD,2019,1290000
FAIRHAVEN,2019,1395000
FAWKNER,2019,665000
FERNTREE GULLY,2019,692000
FERNY CREEK,2019,733000
FINGAL,2019,1240000
FITZROY,2019,1392500
FITZROY NORTH,2019,1377500
FIVEWAYS,2019,485000
FLEMINGTON,2019,1000000
FLINDERS,2019,1670000
FLORA HILL,2019,370000
FLOWERDALE,2019,290000
FOOTSCRAY,2019,810000
FOREST HILL,2019,900000
FOSTER,2019,325000
FRANKSTON,2019,580500
FRANKSTON NORTH,2019,423000
FRANKSTON SOUTH,2019,817500
FRASER RISE,2019,598000
FYANSFORD,2019,617500
GARDEN CITY,2019,1375000
GARDENVALE,2019,1740000
GARFIELD,2019,540000
GEELONG,2019,720000
GEELONG WEST,2019,675000
GEMBROOK,2019,650000
GISBORNE,2019,730000
GLADSTONE PARK,2019,636500
GLEN HUNTLY,2019,1380000
GLEN IRIS,2019,1929500
GLEN WAVERLEY,2019,1270000
GLENGARRY,2019,324000
GLENROWAN,2019,372500
GLENROY,2019,700000
GOLDEN BEACH,2019,220000
GOLDEN POINT (BALLARAT),2019,370000
GOLDEN SQUARE,2019,340000
GORDON,2019,495000
GOUGHS BAY,2019,299500
GOWANBRAE,2019,700500
GRANTVILLE,2019,397500
GREEN LAKE,2019,290000
GREENSBOROUGH,2019,797500
GREENVALE,2019,715000
GROVEDALE,2019,505000
HADFIELD,2019,727500
HALLAM,2019,560000
HALLS GAP,2019,310000
HAMILTON,2019,208500
HAMLYN HEIGHTS,2019,540000
HAMPTON,2019,1896000
HAMPTON EAST,2019,1195000
HAMPTON PARK,2019,502000
HARKNESS,2019,475000
HASTINGS,2019,506000
HASTINGS WEST,2019,430000
HAWTHORN,2019,2195500
HAWTHORN EAST,2019,2050000
HEALESVILLE,2019,579500
HEATHCOTE,2019,332500
HEATHERTON,2019,965000
HEATHMONT,2019,871000
HEIDELBERG,2019,1122500
HEIDELBERG HEIGHTS,2019,777500
HEIDELBERG WEST,2019,665000
HEPBURN,2019,452500
HEPBURN SPRINGS,2019,595000
HERNE HILL,2019,534000
HEYFIELD,2019,195000
HEYWOOD,2019,178000
HIGHETT,2019,1229500
HIGHTON,2019,690000
HILLSIDE (MELTON),2019,642000
HOPETOUN,2019,66000
HOPPERS CROSSING,2019,528500
HORSHAM,2019,269000
HUGHESDALE,2019,1150500
HUNTINGDALE,2019,914000
HUNTLY,2019,367500
HURSTBRIDGE,2019,700000
INDENTED HEAD,2019,606000
INGLEWOOD,2019,185000
INVERLEIGH,2019,503000
INVERLOCH,2019,592500
INVERMAY PARK,2019,475000
IRONBARK,2019,296000
IRYMPLE,2019,380000
IVANHOE,2019,1540000
IVANHOE EAST,2019,1765000
JACANA,2019,512500
JACKASS FLAT,2019,331500
JAMIESON,2019,311500
JAN JUC,2019,870000
JEERALANG NORTH,2019,235000
JEPARIT,2019,81000
JUNCTION VILLAGE,2019,483500
JUNORTOUN,2019,530000
KALIMNA,2019,292500
KALKALLO,2019,532500
KALLISTA,2019,700000
KALORAMA,2019,645000
KANGAROO FLAT,2019,340000
KANGAROO GROUND SOUTH,2019,815500
KANIVA,2019,169500
KEALBA,2019,596000
KEILOR,2019,836500
KEILOR DOWNS,2019,630000
KEILOR EAST,2019,835000
KEILOR LODGE,2019,740000
KEILOR PARK,2019,708000
KENNINGTON,2019,373500
KENSINGTON,2019,980000
KERANG,2019,170000
KEW,2019,2255000
KEW EAST,2019,1837000
KEW NORTH,2019,1833000
KEYSBOROUGH,2019,740000
KIALLA,2019,450000
KILCUNDA,2019,533000
KILLARA (WODONGA),2019,453500
KILMORE,2019,435000
KILSYTH,2019,642500
KILSYTH SOUTH,2019,761500
KINGLAKE,2019,555000
KINGS PARK,2019,510000
KINGSBURY,2019,660000
KINGSVILLE,2019,1010000
KNOXFIELD,2019,760000
KOO WEE RUP,2019,550000
KOONDROOK,2019,212500
KOROIT,2019,345000
KORUMBURRA,2019,319000
KURUNJANG,2019,420500
KYABRAM,2019,263000
KYNETON,2019,595000
LAKE BOGA,2019,239000
LAKE GARDENS,2019,552500
LAKE TYERS BEACH,2019,357500
LAKE WENDOUREE,2019,836500
LAKES ENTRANCE,2019,310000
LALOR,2019,590500
LANCEFIELD,2019,500000
LANG LANG,2019,495000
LANGWARRIN,2019,617500
LARA,2019,495000
LARA LAKE,2019,540000
LAUNCHING PLACE,2019,554000
LAVERTON,2019,529000
LAVERTON SOUTH,2019,622500
LEARMONTH,2019,331000
LENEVA,2019,426000
LEONGATHA,2019,367000
LEOPOLD,2019,510000
LILYDALE,2019,680000
LINTON,2019,256500
LISMORE,2019,144500
LOCH SPORT,2019,244000
LOCKINGTON,2019,222000
LONG GULLY,2019,280000
LONGWARRY,2019,405000
LORNE,2019,1295000
LOVELY BANKS,2019,570000
LOWER PLENTY,2019,905000
LUCAS,2019,431000
LUCKNOW,2019,275000
LYNBROOK,2019,623000
LYNDHURST,2019,665000
LYSTERFIELD,2019,956500
LYSTERFIELD SOUTH,2019,1045000
MACEDON,2019,800000
MACLEOD,2019,914500
MACS COVE,2019,300000
MADDINGLEY,2019,460000
MAFFRA,2019,255000
MAIDEN GULLY,2019,512500
MAIDSTONE,2019,779000
MALDON,2019,510000
MALLACOOTA,2019,406500
MALMSBURY,2019,475000
MALVERN,2019,2550000
MALVERN EAST,2019,1770000
MANANGATANG,2019,97000
MANIFOLD HEIGHTS,2019,715000
MANOR LAKES,2019,535000
MANSFIELD,2019,456000
MARENGO,2019,687500
MARIBYRNONG,2019,987500
MARONG,2019,420000
MARSHALL,2019,486500
MARYBOROUGH,2019,235500
MARYSVILLE,2019,462500
MCCRAE,2019,795000
MCKENZIE HILL,2019,536500
MCKINNON,2019,1525000
MEADOW HEIGHTS,2019,472500
MELTON,2019,385000
MELTON SOUTH,2019,390000
MELTON WEST,2019,424000
MENTONE,2019,1028000
MENZIES CREEK,2019,682500
MERBEIN,2019,210000
MERINDA PARK,2019,477000
MERNDA,2019,552000
MERRIJIG (MANSFIELD),2019,422500
METUNG,2019,425000
MICKLEHAM,2019,525000
MIDDLE PARK,2019,2705000
MILDURA,2019,310000
MILL PARK,2019,654000
MILLGROVE,2019,415000
MINERS REST,2019,428000
MINYIP,2019,114500
MIRBOO NORTH,2019,327500
MITCHAM,2019,942000
MITCHELL PARK,2019,313000
MOE,2019,210000
MONBULK,2019,630000
MONT ALBERT,2019,1680000
MONT ALBERT NORTH,2019,1380000
MONTMORENCY,2019,856000
MONTROSE,2019,707500
MOONEE PONDS,2019,1300000
MOORABBIN,2019,1050000
MOOROOLBARK,2019,670000
MOOROOPNA,2019,249000
MORDIALLOC,2019,1010000
MORNINGTON,2019,800000
MORTLAKE,2019,164000
MORWELL,2019,180000
MOUNT BEAUTY,2019,294000
MOUNT CLEAR,2019,396500
MOUNT DANDENONG,2019,662000
MOUNT DUNEED,2019,563000
MOUNT ELIZA,2019,1157500
MOUNT EVELYN,2019,636000
MOUNT HELEN,2019,418500
MOUNT MACEDON,2019,775000
MOUNT MARTHA,2019,1252500
MOUNT PLEASANT,2019,377500
MOUNT WAVERLEY,2019,1267000
MULGRAVE,2019,840000
MURCHISON,2019,244500
MURRUMBEENA,2019,1241500
MURTOA,2019,119000
MYRTLEFORD,2019,315000
NAGAMBIE,2019,414000
NARRE WARREN,2019,590000
NARRE WARREN NORTH,2019,1075000
NARRE WARREN SOUTH,2019,625000
NATHALIA,2019,229000
NATIMUK,2019,148500
NEERIM SOUTH,2019,394000
NELSON,2019,247500
NERRINA,2019,617500
NEW GISBORNE,2019,695000
NEWBOROUGH,2019,256000
NEWCOMB,2019,435000
NEWINGTON,2019,495000
NEWLANDS ARM,2019,444000
NEWPORT,2019,1055000
NEWSTEAD,2019,436000
NEWTOWN (GREATER GEELONG),2019,825000
NHILL,2019,137000
NICHOLS POINT,2019,430000
NIDDRIE,2019,1070000
NOBLE PARK,2019,629000
NOBLE PARK NORTH,2019,610000
NOOJEE,2019,224000
NORLANE,2019,349000
NORTH BENDIGO,2019,325000
NORTH GEELONG,2019,500000
NORTH MELBOURNE,2019,1297500
NORTH WONTHAGGI,2019,389000
NORTHCOTE,2019,1300000
NOTTING HILL,2019,875500
NUMURKAH,2019,252500
NUNAWADING,2019,950000
NYAH WEST,2019,85000
NYORA,2019,370000
OAK PARK,2019,840000
OAKLEIGH,2019,1101000
OAKLEIGH EAST,2019,942000
OAKLEIGH SOUTH,2019,908000
OCEAN GROVE,2019,695000
OFFICER,2019,550000
OFFICER SOUTH,2019,686000
OLINDA,2019,748000
ORBOST,2019,185500
ORMOND,2019,1467500
OSBORNE,2019,780000
